datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,40,0,1,-16.664,-46.99,19.9
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,MINDURI,Mata Atlantica,15,0,1,-21.743,-44.624,5.8
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CARMO DA CACHOEIRA,Mata Atlantica,23,0,1,-21.354,-45.135,21.1
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CARMO DA CACHOEIRA,Mata Atlantica,23,0,1,-21.352,-45.125,24.3
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,ARAUJOS,Cerrado,21,0,1,-19.884,-45.196,26.1
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,PERDIZES,Cerrado,40,0,1,-19.449,-46.885,13.4
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,IBIA,Cerrado,26,0,0.9,-19.394,-46.321,41.7
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CONGONHAL,Mata Atlantica,3,0,0.9,-22.119,-46.042,12
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CONGONHAL,Mata Atlantica,3,0,0.8,-22.118,-46.048,5.7
2020/07/04 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CONGONHAL,Mata Atlantica,3,0,0.9,-22.116,-46.036,7
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado,8,0,-999,-19.744,-45.281,9.2
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado,8,0,-999,-19.743,-45.267,12.3
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,42,0,1,-17.403,-47.223,18.1
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,42,0,0.8,-17.401,-47.205,20.5
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,42,0,0.9,-17.397,-47.211,38.1
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,TRES PONTAS,Mata Atlantica,17,0,1,-21.358,-45.44,23.3
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,LUZ,Cerrado,41,0,0.9,-20.037,-45.646,11.1
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ITURAMA,Mata Atlantica,5,0,1,-19.74,-50.449,80.1
